Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
AA,SLC,CLT,CLT-SLC,35.125,-80.5635,40.4718,-111.5839
AA,SLC,DFW,DFW-SLC,32.5347,-97.215,40.4718,-111.5839
AA,SLC,LAX,LAX-SLC,33.5633,-118.2429,40.4718,-111.5839
AA,SLC,ORD,ORD-SLC,41.5846,-87.5416,40.4718,-111.5839
AA,SLC,PHL,PHL-SLC,39.5219,-75.1428,40.4718,-111.5839
AA,SLC,PHX,PHX-SLC,33.263,-112.029,40.4718,-111.5839
AA,SMF,CLT,CLT-SMF,35.125,-80.5635,38.4143,-121.3526
AA,SMF,DFW,DFW-SMF,32.5347,-97.215,38.4143,-121.3526
AA,SMF,LAX,LAX-SMF,33.5633,-118.2429,38.4143,-121.3526
AA,SMF,PHX,PHX-SMF,33.263,-112.029,38.4143,-121.3526
AA,SMF,SEA,SEA-SMF,47.2656,-122.1833,38.4143,-121.3526
AA,SNA,DFW,DFW-SNA,32.5347,-97.215,33.4032,-117.525
AA,SNA,ORD,ORD-SNA,41.5846,-87.5416,33.4032,-117.525
AA,SNA,PDX,PDX-SNA,45.3519,-122.3551,33.4032,-117.525
AA,SNA,PHX,PHX-SNA,33.263,-112.029,33.4032,-117.525
AA,SNA,SEA,SEA-SNA,47.2656,-122.1833,33.4032,-117.525
AA,SPS,DFW,DFW-SPS,32.5347,-97.215,33.5919,-98.293
AA,STL,CLT,CLT-STL,35.125,-80.5635,38.4451,-90.2135
AA,STL,DCA,DCA-STL,38.517,-77.215,38.4451,-90.2135
AA,STL,DFW,DFW-STL,32.5347,-97.215,38.4451,-90.2135
AA,STL,LAX,LAX-STL,33.5633,-118.2429,38.4451,-90.2135
AA,STL,LGA,LGA-STL,40.4638,-73.5221,38.4451,-90.2135
AA,STL,MIA,MIA-STL,25.4735,-80.1726,38.4451,-90.2135
AA,STL,ORD,ORD-STL,41.5846,-87.5416,38.4451,-90.2135
AA,STL,PHL,PHL-STL,39.5219,-75.1428,38.4451,-90.2135
AA,STL,PHX,PHX-STL,33.263,-112.029,38.4451,-90.2135
AA,STL,PIT,PIT-STL,40.2929,-80.1358,38.4451,-90.2135
AA,STL,SEA,SEA-STL,47.2656,-122.1833,38.4451,-90.2135
AA,SUX,ORD,ORD-SUX,41.5846,-87.5416,42.249,-96.233
AA,SWF,PHL,PHL-SWF,39.5219,-75.1428,41.3014,-74.617
AA,SYR,BOS,BOS-SYR,42.2151,-71.018,43.64,-76.622
AA,SYR,CLT,CLT-SYR,35.125,-80.5635,43.64,-76.622
AA,SYR,DCA,DCA-SYR,38.517,-77.215,43.64,-76.622
AA,SYR,ORD,ORD-SYR,41.5846,-87.5416,43.64,-76.622
AA,SYR,PHL,PHL-SYR,39.5219,-75.1428,43.64,-76.622
AA,TLH,CLT,CLT-TLH,35.125,-80.5635,30.2347,-84.211
AA,TLH,DCA,DCA-TLH,38.517,-77.215,30.2347,-84.211
AA,TLH,DFW,DFW-TLH,32.5347,-97.215,30.2347,-84.211
AA,TLH,MIA,MIA-TLH,25.4735,-80.1726,30.2347,-84.211
AA,TPA,CLT,CLT-TPA,35.125,-80.5635,27.5831,-82.3159
AA,TPA,DCA,DCA-TPA,38.517,-77.215,27.5831,-82.3159
AA,TPA,DFW,DFW-TPA,32.5347,-97.215,27.5831,-82.3159
AA,TPA,JFK,JFK-TPA,40.3823,-73.4644,27.5831,-82.3159
AA,TPA,MIA,MIA-TPA,25.4735,-80.1726,27.5831,-82.3159
AA,TPA,ORD,ORD-TPA,41.5846,-87.5416,27.5831,-82.3159
AA,TPA,PHL,PHL-TPA,39.5219,-75.1428,27.5831,-82.3159
AA,TPA,PHX,PHX-TPA,33.263,-112.029,27.5831,-82.3159
AA,TUL,DFW,DFW-TUL,32.5347,-97.215,36.1154,-95.5317
AA,TUL,MIA,MIA-TUL,25.4735,-80.1726,36.1154,-95.5317
AA,TUL,ORD,ORD-TUL,41.5846,-87.5416,36.1154,-95.5317
AA,TUS,DFW,DFW-TUS,32.5347,-97.215,32.658,-110.5629
AA,TUS,LAX,LAX-TUS,33.5633,-118.2429,32.658,-110.5629
